R,G,B,Class
0.175925925926,0.268656716418,0.262745098039,4.0
0.147058823529,0.257575757576,0.258823529412,4.0
0.127450980392,0.253731343284,0.262745098039,4.0
0.166666666667,0.264705882353,0.266666666667,4.0
0.125,0.148148148148,0.211764705882,4.0
0.133333333333,0.178571428571,0.219607843137,4.0
0.130952380952,0.237288135593,0.23137254902,4.0
0.154761904762,0.237288135593,0.23137254902,4.0
0.177777777778,0.25,0.235294117647,4.0
0.179487179487,0.220338983051,0.23137254902,4.0
0.166666666667,0.175438596491,0.223529411765,4.0
0.166666666667,0.142857142857,0.219607843137,4.0
0.166666666667,0.127272727273,0.21568627451,4.0
0.166666666667,0.127272727273,0.21568627451,4.0
0.2,0.172413793103,0.227450980392,4.0
0.214285714286,0.225806451613,0.243137254902,4.0
0.21875,0.246153846154,0.254901960784,4.0
0.225,0.289855072464,0.270588235294,4.0
0.239130434783,0.315068493151,0.286274509804,4.0
0.231884057971,0.315068493151,0.286274509804,4.0
0.216666666667,0.281690140845,0.278431372549,4.0
0.2,0.281690140845,0.278431372549,4.0
